state,idxs,pop,pop_18,pop_60,normalized_pop,pop_below_18,pop_percentage_18,pop_percentage_60,pop_percentage_below_18
Johor,1,3781000,2711900,428700,115.78,640400,71.72,11.34,16.94
Kedah,2,2185100,1540600,272500,66.91,372000,70.5,12.47,17.02
Kelantan,3,1906700,1236200,194100,58.38,476400,64.83,10.18,24.99
Melaka,4,932700,677400,118500,28.56,136800,72.63,12.71,14.67
Negeri Sembilan,5,1128800,814400,145000,34.56,169400,72.15,12.85,15.01
Pahang,6,1678700,1175800,190200,51.4,312700,70.04,11.33,18.63
Pulau Pinang,7,1773600,1367200,239200,54.31,167200,77.09,13.49,9.43
Perak,8,2510300,1862700,397300,76.87,250300,74.2,15.83,9.97
Perlis,9,254900,181200,35100,7.81,38600,71.09,13.77,15.14
Selangor,10,6538000,4747900,575800,200.2,1214300,72.62,8.81,18.57
Terengganu,11,1259300,808400,115200,38.56,335700,64.19,9.15,26.66
Sabah,12,3908500,2758400,238900,119.68,911200,70.57,6.11,23.31
Sarawak,13,2816500,2042700,332800,86.24,441000,72.53,11.82,15.66
Kuala Lumpur,14,1773700,1348600,205800,54.31,219300,76.03,11.6,12.36
Labuan,15,99600,68500,7900,3.05,23200,68.78,7.93,23.29
Putrajaya,16,110000,67700,5000,3.37,37300,61.55,4.55,33.91
